State,Year,Month,Murders.with.Firearm,Murders
Aguascalientes,1998,Enero,1,2
,,Febrero,1,2
,,Marzo,0,5
,,Abril,0,6
,,Mayo,1,8
,,Junio,0,1
,,Julio,0,4
,,Agosto,1,3
,,Septiembre,0,4
,,Octubre,0,1
,,Noviembre,2,4
,,Diciembre,0,6
,,No Especificado,0,0
,1999,Enero,1,3
,,Febrero,0,1
,,Marzo,1,2
,,Abril,1,1
,,Mayo,0,2
,,Junio,0,0
,,Julio,0,1
,,Agosto,4,4
,,Septiembre,2,4
,,Octubre,1,1
,,Noviembre,1,3
,,Diciembre,1,1
,,No Especificado,0,0
,2000,Enero,0,0
,,Febrero,0,0
,,Marzo,0,1
,,Abril,0,2
,,Mayo,0,1
,,Junio,0,2
,,Julio,0,1
,,Agosto,1,3
,,Septiembre,2,2
,,Octubre,0,2
,,Noviembre,0,1
,,Diciembre,1,1
,,No Especificado,0,0
,2001,Enero,3,3
,,Febrero,1,2
,,Marzo,0,0
,,Abril,0,3
,,Mayo,1,3
,,Junio,0,3
,,Julio,0,1
,,Agosto,1,1
,,Septiembre,1,3
,,Octubre,0,0
,,Noviembre,0,2
,,Diciembre,1,2
,,No Especificado,0,0
,2002,Enero,1,2
,,Febrero,2,2
,,Marzo,0,0
,,Abril,1,3
,,Mayo,1,3
,,Junio,2,2
,,Julio,1,4
,,Agosto,0,2
,,Septiembre,0,1
,,Octubre,0,2
,,Noviembre,0,4
,,Diciembre,1,3
,,No Especificado,0,0
,2003,Enero,0,1
,,Febrero,0,1
,,Marzo,1,1
,,Abril,0,3
,,Mayo,1,4
,,Junio,4,5
,,Julio,1,1
,,Agosto,0,2
,,Septiembre,0,0
,,Octubre,0,2
,,Noviembre,0,1
,,Diciembre,0,3
,,No Especificado,0,0
,2004,Enero,1,1
,,Febrero,0,0
,,Marzo,0,0
,,Abril,1,2
,,Mayo,1,3
,,Junio,1,2
,,Julio,0,2
,,Agosto,1,2
,,Septiembre,1,2
,,Octubre,1,4
,,Noviembre,0,3
,,Diciembre,0,1
,,No Especificado,0,0
,2005,Enero,1,2
,,Febrero,0,0
,,Marzo,2,6
,,Abril,0,0
,,Mayo,0,3
,,Junio,1,4
,,Julio,0,0
,,Agosto,1,2
,,Septiembre,0,2
,,Octubre,0,1
,,Noviembre,1,3
,,Diciembre,1,2
,,No Especificado,0,0
,2006,Enero,0,1
,,Febrero,0,3
,,Marzo,0,1
,,Abril,1,1
,,Mayo,3,5
,,Junio,0,2
,,Julio,4,4
,,Agosto,0,3
,,Septiembre,1,3
,,Octubre,0,0
,,Noviembre,0,3
,,Diciembre,1,1
,,No Especificado,0,0
,2007,Enero,0,2
,,Febrero,1,1
,,Marzo,0,1
,,Abril,1,1
,,Mayo,3,4
,,Junio,2,4
,,Julio,2,6
,,Agosto,10,12
,,Septiembre,1,2
,,Octubre,1,5
,,Noviembre,1,3
,,Diciembre,1,2
,,No Especificado,0,0
,2008,Enero,3,4
,,Febrero,1,2
,,Marzo,2,3
,,Abril,1,2
,,Mayo,3,6
