Region,Year,Month,Firearm.Homicide,Homicide
CE Centro este,1998,Enero,151,328
,,Febrero,148,361
,,Marzo,186,400
,,Abril,179,413
,,Mayo,186,422
,,Junio,163,369
,,Julio,155,392
,,Agosto,157,364
,,Septiembre,174,374
,,Octubre,182,371
,,Noviembre,137,340
,,Diciembre,216,422
,,No Especificado,2,13
,1999,Enero,150,327
,,Febrero,180,356
,,Marzo,180,376
,,Abril,138,361
,,Mayo,170,352
,,Junio,147,299
,,Julio,146,331
,,Agosto,141,307
,,Septiembre,144,311
,,Octubre,159,340
,,Noviembre,131,309
,,Diciembre,149,377
,,No Especificado,2,5
,2000,Enero,156,326
,,Febrero,131,301
,,Marzo,154,347
,,Abril,144,301
,,Mayo,120,296
,,Junio,111,255
,,Julio,134,334
,,Agosto,120,293
,,Septiembre,147,335
,,Octubre,106,284
,,Noviembre,121,283
,,Diciembre,153,359
,,No Especificado,,2
,2001,Enero,139,317
,,Febrero,134,299
,,Marzo,146,310
,,Abril,110,286
,,Mayo,169,347
,,Junio,114,261
,,Julio,139,335
,,Agosto,120,304
,,Septiembre,134,280
,,Octubre,152,320
,,Noviembre,118,287
,,Diciembre,150,331
,,No Especificado,1,3
,2002,Enero,118,279
,,Febrero,117,265
,,Marzo,153,318
,,Abril,135,275
,,Mayo,124,290
,,Junio,122,274
,,Julio,128,282
,,Agosto,139,306
,,Septiembre,101,254
,,Octubre,107,257
,,Noviembre,126,290
,,Diciembre,139,313
,,No Especificado,2,7
,2003,Enero,115,286
,,Febrero,116,259
,,Marzo,147,332
,,Abril,138,291
,,Mayo,111,263
,,Junio,116,266
,,Julio,119,268
,,Agosto,97,259
,,Septiembre,123,255
,,Octubre,122,296
,,Noviembre,131,328
,,Diciembre,115,291
,,No Especificado,1,1
,2004,Enero,107,267
,,Febrero,136,293
,,Marzo,116,286
,,Abril,90,230
,,Mayo,117,297
,,Junio,125,265
,,Julio,115,257
,,Agosto,97,258
,,Septiembre,103,260
,,Octubre,96,255
,,Noviembre,108,261
,,Diciembre,100,250
,,No Especificado,1,5
,2005,Enero,118,292
,,Febrero,87,251
,,Marzo,100,278
,,Abril,119,284
,,Mayo,109,270
,,Junio,124,298
,,Julio,99,258
,,Agosto,96,281
,,Septiembre,103,268
,,Octubre,95,254
,,Noviembre,126,265
,,Diciembre,119,308
,,No Especificado,,1
,2006,Enero,108,299
,,Febrero,89,247
,,Marzo,97,287
,,Abril,119,270
,,Mayo,110,282
,,Junio,111,223
,,Julio,101,251
,,Agosto,130,291
,,Septiembre,121,240
,,Octubre,104,209
,,Noviembre,103,209
,,Diciembre,126,234
,,No Especificado,,1
,2007,Enero,64,156
,,Febrero,50,119
,,Marzo,122,226
,,Abril,99,238
,,Mayo,147,252
,,Junio,106,207
,,Julio,132,206
,,Agosto,106,202
,,Septiembre,112,233
,,Octubre,110,218
,,Noviembre,105,213
,,Diciembre,130,252
,,No Especificado,1,1
,2008,Enero,123,254
,,Febrero,107,222
,,Marzo,98,231
,,Abril,121,260
,,Mayo,136,259
,,Junio,107,234
,,Julio,123,270
,,Agosto,146,274
,,Septiembre,141,267
,,Octubre,153,272
,,Noviembre,146,268
,,Diciembre,131,260
,,No Especificado,,2
CO Centro oeste,1998,Enero,104,190
,,Febrero,110,172
,,Marzo,128,200
,,Abril,108,192
,,Mayo,119,200
,,Junio,97,163
,,Julio,96,164
,,Agosto,93,180
,,Septiembre,90,186
,,Octubre,101,184
,,Noviembre,107,179
,,Diciembre,133,242
,,No Especificado,3,8
,1999,Enero,116,193
,,Febrero,93,161
,,Marzo,112,194
,,Abril,81,151
,,Mayo,124,210
,,Junio,75,150
,,Julio,83,176
,,Agosto,93,162
,,Septiembre,97,166
,,Octubre,100,169
,,Noviembre,110,186
,,Diciembre,132,197
,,No Especificado,4,6
,2000,Enero,116,184
,,Febrero,87,156
,,Marzo,100,169
,,Abril,90,176
,,Mayo,77,147
,,Junio,71,133
,,Julio,74,148
,,Agosto,91,153
,,Septiembre,94,172
,,Octubre,84,164
,,Noviembre,82,139
,,Diciembre,127,208
,,No Especificado,2,4
,2001,Enero,107,186
,,Febrero,83,133
,,Marzo,95,163
,,Abril,95,178
,,Mayo,82,166
,,Junio,106,176
,,Julio,80,157
,,Agosto,71,145
,,Septiembre,83,134
,,Octubre,114,178
,,Noviembre,86,151
,,Diciembre,88,178
,,No Especificado,2,8
,2002,Enero,85,151
,,Febrero,91,153
,,Marzo,93,165
,,Abril,105,174
,,Mayo,61,124
,,Junio,72,128
,,Julio,83,145
,,Agosto,69,115
,,Septiembre,83,136
,,Octubre,93,138
,,Noviembre,92,151
,,Diciembre,120,178
,,No Especificado,1,5
,2003,Enero,95,158
,,Febrero,70,123
,,Marzo,99,165
,,Abril,88,147
,,Mayo,91,145
,,Junio,107,153
,,Julio,77,141
,,Agosto,83,143
,,Septiembre,75,136
,,Octubre,90,137
,,Noviembre,96,151
,,Diciembre,90,144
,,No Especificado,2,6
,2004,Enero,88,148
,,Febrero,63,101
,,Marzo,106,161
,,Abril,71,118
,,Mayo,69,121
,,Junio,91,146
,,Julio,82,130
,,Agosto,94,138
,,Septiembre,57,113
,,Octubre,81,163
,,Noviembre,77,136
,,Diciembre,92,145
,,No Especificado,4,6
,2005,Enero,75,118
,,Febrero,90,149
,,Marzo,98,160
,,Abril,85,152
,,Mayo,89,159
,,Junio,90,154
,,Julio,82,130
,,Agosto,65,128
,,Septiembre,98,155
,,Octubre,101,167
,,Noviembre,121,175
,,Diciembre,111,172
,,No Especificado,5,6
,2006,Enero,124,189
,,Febrero,64,123
,,Marzo,86,148
,,Abril,106,165
,,Mayo,97,169
,,Junio,115,172
,,Julio,117,170
,,Agosto,154,225
,,Septiembre,102,166
,,Octubre,107,166
,,Noviembre,155,212
,,Diciembre,136,195
,,No Especificado,5,11
,2007,Enero,80,117
,,Febrero,50,87
,,Marzo,98,132
,,Abril,74,120
,,Mayo,98,153
,,Junio,76,124
,,Julio,74,137
,,Agosto,118,172
,,Septiembre,69,140
,,Octubre,93,165
,,Noviembre,102,157
,,Diciembre,94,161
,,No Especificado,6,10
,2008,Enero,90,155
,,Febrero,96,148
,,Marzo,104,144
,,Abril,101,165
,,Mayo,108,182
,,Junio,109,183
,,Julio,113,175
,,Agosto,109,187
,,Septiembre,84,164
,,Octubre,112,185
,,Noviembre,120,182
,,Diciembre,115,188
,,No Especificado,4,6
NE Noreste,1998,Enero,65,107
,,Febrero,64,99
,,Marzo,68,114
,,Abril,71,115
,,Mayo,87,119
,,Junio,70,124
,,Julio,83,136
,,Agosto,64,110
,,Septiembre,79,141
,,Octubre,71,116
,,Noviembre,78,122
,,Diciembre,87,136
,,No Especificado,2,7
,1999,Enero,57,87
,,Febrero,61,83
,,Marzo,67,104
,,Abril,57,90
,,Mayo,67,117
,,Junio,80,115
,,Julio,54,109
,,Agosto,57,108
,,Septiembre,56,93
,,Octubre,66,113
,,Noviembre,64,103
,,Diciembre,74,119
,,No Especificado,1,6
,2000,Enero,66,105
,,Febrero,52,88
,,Marzo,56,96
,,Abril,55,98
,,Mayo,60,94
,,Junio,61,107
,,Julio,53,100
,,Agosto,56,92
,,Septiembre,66,115
,,Octubre,48,93
,,Noviembre,61,101
,,Diciembre,61,104
,,No Especificado,4,13
,2001,Enero,57,92
,,Febrero,44,79
,,Marzo,60,94
,,Abril,63,97
,,Mayo,52,96
,,Junio,54,115
,,Julio,65,100
,,Agosto,66,122
,,Septiembre,42,88
,,Octubre,50,85
,,Noviembre,58,100
,,Diciembre,74,120
,,No Especificado,1,3
,2002,Enero,50,90
,,Febrero,46,85
,,Marzo,84,127
,,Abril,70,105
,,Mayo,55,94
,,Junio,72,128
,,Julio,55,88
,,Agosto,87,150
,,Septiembre,40,86
,,Octubre,42,75
,,Noviembre,67,96
,,Diciembre,42,78
,,No Especificado,4,8
,2003,Enero,48,81
,,Febrero,42,82
,,Marzo,65,105
,,Abril,59,109
,,Mayo,49,93
,,Junio,75,112
,,Julio,53,98
,,Agosto,47,88
,,Septiembre,65,102
,,Octubre,49,91
,,Noviembre,59,115
,,Diciembre,58,88
,,No Especificado,2,4
,2004,Enero,56,88
,,Febrero,42,82
,,Marzo,39,82
,,Abril,40,79
,,Mayo,50,105
,,Junio,51,93
,,Julio,54,91
,,Agosto,41,105
,,Septiembre,25,72
,,Octubre,47,93
,,Noviembre,37,79
,,Diciembre,46,90
,,No Especificado,1,2
,2005,Enero,65,107
,,Febrero,53,97
,,Marzo,74,120
,,Abril,57,98
,,Mayo,62,114
,,Junio,74,148
,,Julio,78,128
,,Agosto,45,88
,,Septiembre,67,123
,,Octubre,78,127
,,Noviembre,59,94
,,Diciembre,75,134
,,No Especificado,1,2
,2006,Enero,81,124
,,Febrero,61,107
,,Marzo,67,116
,,Abril,95,134
,,Mayo,93,137
,,Junio,62,119
,,Julio,55,107
,,Agosto,52,87
,,Septiembre,68,130
,,Octubre,71,104
,,Noviembre,79,123
,,Diciembre,44,95
,,No Especificado,,
,2007,Enero,37,57
,,Febrero,44,66
,,Marzo,81,115
,,Abril,59,105
,,Mayo,75,132
,,Junio,58,112
,,Julio,52,105
,,Agosto,56,103
,,Septiembre,54,112
,,Octubre,59,120
,,Noviembre,55,93
,,Diciembre,63,125
,,No Especificado,1,1
,2008,Enero,83,136
,,Febrero,144,191
,,Marzo,172,263
,,Abril,113,159
,,Mayo,241,325
,,Junio,250,338
,,Julio,225,293
,,Agosto,331,394
,,Septiembre,198,275
,,Octubre,322,427
,,Noviembre,316,414
,,Diciembre,266,327
,,No Especificado,2,3
No disponible,1998,Enero,8,16
,,Febrero,4,6
,,Marzo,6,13
,,Abril,7,14
,,Mayo,7,12
,,Junio,8,13
,,Julio,9,13
,,Agosto,11,20
,,Septiembre,10,16
,,Octubre,10,12
,,Noviembre,7,11
,,Diciembre,11,18
,,No Especificado,,1
,1999,Enero,12,18
,,Febrero,6,9
,,Marzo,15,21
,,Abril,7,12
,,Mayo,10,12
,,Junio,5,9
,,Julio,9,17
,,Agosto,10,14
,,Septiembre,15,17
,,Octubre,7,16
,,Noviembre,4,5
,,Diciembre,10,11
,,No Especificado,2,2
,2000,Enero,9,12
,,Febrero,9,14
,,Marzo,4,7
,,Abril,6,13
,,Mayo,5,9
,,Junio,6,10
,,Julio,4,6
,,Agosto,6,8
,,Septiembre,11,16
,,Octubre,8,11
,,Noviembre,7,12
,,Diciembre,5,9
,,No Especificado,2,5
,2001,Enero,6,8
,,Febrero,11,18
,,Marzo,13,15
,,Abril,14,15
,,Mayo,6,11
,,Junio,4,8
,,Julio,6,14
,,Agosto,7,13
,,Septiembre,7,11
,,Octubre,4,8
,,Noviembre,5,13
,,Diciembre,9,17
,,No Especificado,,
,2002,Enero,7,31
,,Febrero,11,27
,,Marzo,4,17
,,Abril,7,16
,,Mayo,9,19
,,Junio,9,24
,,Julio,15,29
,,Agosto,12,29
,,Septiembre,12,17
,,Octubre,11,26
,,Noviembre,5,15
,,Diciembre,9,21
,,No Especificado,1,2
,2003,Enero,7,17
,,Febrero,7,23
,,Marzo,10,22
,,Abril,6,19
,,Mayo,11,32
,,Junio,10,17
,,Julio,12,24
,,Agosto,6,11
,,Septiembre,6,12
,,Octubre,7,16
,,Noviembre,5,18
,,Diciembre,7,20
,,No Especificado,,
,2004,Enero,6,14
,,Febrero,7,22
,,Marzo,8,27
,,Abril,6,23
,,Mayo,11,22
,,Junio,3,11
,,Julio,5,15
,,Agosto,7,21
,,Septiembre,11,22
,,Octubre,8,17
,,Noviembre,5,21
,,Diciembre,7,20
,,No Especificado,,
,2005,Enero,7,20
,,Febrero,12,29
,,Marzo,6,22
,,Abril,9,19
,,Mayo,7,18
,,Junio,5,11
,,Julio,6,21
,,Agosto,14,28
,,Septiembre,10,16
,,Octubre,6,19
,,Noviembre,9,24
,,Diciembre,8,21
,,No Especificado,,
,2006,Enero,5,14
,,Febrero,6,18
,,Marzo,9,21
,,Abril,11,19
,,Mayo,7,15
,,Junio,7,17
,,Julio,7,26
,,Agosto,9,22
,,Septiembre,9,20
,,Octubre,9,17
,,Noviembre,5,9
,,Diciembre,5,15
,,No Especificado,1,1
,2007,Enero,5,14
,,Febrero,7,12
,,Marzo,6,19
,,Abril,3,9
,,Mayo,9,21
,,Junio,8,17
,,Julio,9,18
,,Agosto,6,11
,,Septiembre,4,15
,,Octubre,14,18
,,Noviembre,8,15
,,Diciembre,7,9
,,No Especificado,,1
,2008,Enero,7,13
,,Febrero,9,21
,,Marzo,16,29
,,Abril,9,18
,,Mayo,7,18
,,Junio,13,18
,,Julio,15,20
,,Agosto,14,24
,,Septiembre,15,32
,,Octubre,16,23
,,Noviembre,11,19
,,Diciembre,7,13
,,No Especificado,,
NO Noroeste,1998,Enero,88,112
,,Febrero,65,102
,,Marzo,83,113
,,Abril,80,104
,,Mayo,75,105
,,Junio,84,128
,,Julio,86,125
,,Agosto,79,120
,,Septiembre,103,138
,,Octubre,88,116
,,Noviembre,92,126
,,Diciembre,95,113
,,No Especificado,4,4
,1999,Enero,100,129
,,Febrero,74,110
,,Marzo,92,122
,,Abril,90,126
,,Mayo,96,142
,,Junio,72,101
,,Julio,93,135
,,Agosto,82,113
,,Septiembre,84,122
,,Octubre,91,118
,,Noviembre,83,113
,,Diciembre,78,114
,,No Especificado,2,2
,2000,Enero,70,115
,,Febrero,61,100
,,Marzo,68,93
,,Abril,47,65
,,Mayo,73,97
,,Junio,47,82
,,Julio,74,104
,,Agosto,54,89
,,Septiembre,48,70
,,Octubre,55,86
,,Noviembre,58,85
,,Diciembre,84,107
