Region,Year,Month,Firearm.Suicides,Suicides
CE Centro este,1998,Enero,19,67
,,Febrero,17,66
,,Marzo,15,57
,,Abril,11,68
,,Mayo,6,70
,,Junio,22,69
,,Julio,21,76
,,Agosto,11,71
,,Septiembre,8,54
,,Octubre,11,61
,,Noviembre,11,90
,,Diciembre,19,76
,,No Especificado,,1
,1999,Enero,12,66
,,Febrero,7,58
,,Marzo,14,68
,,Abril,12,57
,,Mayo,16,65
,,Junio,13,60
,,Julio,19,66
,,Agosto,11,72
,,Septiembre,9,65
,,Octubre,23,63
,,Noviembre,6,55
,,Diciembre,16,76
,,No Especificado,,2
,2000,Enero,9,64
,,Febrero,13,61
,,Marzo,17,60
,,Abril,9,69
,,Mayo,16,69
,,Junio,14,65
,,Julio,10,63
,,Agosto,12,52
,,Septiembre,8,69
,,Octubre,11,54
,,Noviembre,12,61
,,Diciembre,12,58
,,No Especificado,,
,2001,Enero,15,78
,,Febrero,10,59
,,Marzo,12,84
,,Abril,15,85
,,Mayo,14,71
,,Junio,11,85
,,Julio,16,62
,,Agosto,22,76
,,Septiembre,14,65
,,Octubre,11,77
,,Noviembre,15,83
,,Diciembre,12,95
,,No Especificado,,3
,2002,Enero,16,69
,,Febrero,8,76
,,Marzo,17,84
,,Abril,13,63
,,Mayo,18,72
,,Junio,11,61
,,Julio,9,77
,,Agosto,14,74
,,Septiembre,19,76
,,Octubre,12,66
,,Noviembre,13,71
,,Diciembre,7,81
,,No Especificado,,
,2003,Enero,10,64
,,Febrero,9,70
,,Marzo,19,95
,,Abril,14,77
,,Mayo,18,105
,,Junio,11,80
,,Julio,18,79
,,Agosto,17,74
,,Septiembre,10,61
,,Octubre,12,75
,,Noviembre,11,76
,,Diciembre,15,85
,,No Especificado,,
,2004,Enero,9,66
,,Febrero,10,69
,,Marzo,17,90
,,Abril,15,87
,,Mayo,17,84
,,Junio,11,62
,,Julio,10,73
,,Agosto,8,61
,,Septiembre,4,73
,,Octubre,9,69
,,Noviembre,18,71
,,Diciembre,12,69
,,No Especificado,,1
,2005,Enero,7,71
,,Febrero,12,79
,,Marzo,12,81
,,Abril,16,77
,,Mayo,20,102
,,Junio,11,73
,,Julio,8,57
,,Agosto,12,79
,,Septiembre,9,69
,,Octubre,15,66
,,Noviembre,13,79
,,Diciembre,6,73
,,No Especificado,,1
,2006,Enero,14,68
,,Febrero,7,61
,,Marzo,10,66
,,Abril,10,71
,,Mayo,10,87
,,Junio,14,57
,,Julio,8,83
,,Agosto,18,96
,,Septiembre,9,99
,,Octubre,17,92
,,Noviembre,10,91
,,Diciembre,24,96
,,No Especificado,,
,2007,Enero,7,84
,,Febrero,7,77
,,Marzo,7,96
,,Abril,18,103
,,Mayo,13,90
,,Junio,15,82
,,Julio,10,96
,,Agosto,9,89
,,Septiembre,6,70
,,Octubre,7,72
,,Noviembre,14,76
