Causa CIE,All Causa CIE,,
Lista GBD de 165,01. Lesiones autoinfligidas intencionalmente (suicidios),,

Defunciones,,,
Entidad de Defunción,Año Defunción,Mes Defunción,Total
Aguascalientes,1998,Enero,2
,,Febrero,1
,,Marzo,2
,,Abril,1
,,Mayo,2
,,Junio,5
,,Julio,
,,Agosto,4
,,Septiembre,2
,,Octubre,1
,,Noviembre,
,,Diciembre,
,,No Especificado,
,1999,Enero,2
,,Febrero,2
,,Marzo,3
,,Abril,3
,,Mayo,4
,,Junio,4
,,Julio,4
,,Agosto,2
,,Septiembre,
,,Octubre,3
,,Noviembre,3
,,Diciembre,3
,,No Especificado,
,2000,Enero,5
,,Febrero,4
,,Marzo,3
,,Abril,
,,Mayo,3
,,Junio,1
,,Julio,4
,,Agosto,1
,,Septiembre,4
,,Octubre,1
,,Noviembre,3
,,Diciembre,2
,,No Especificado,
,2001,Enero,4
,,Febrero,1
,,Marzo,4
,,Abril,1
,,Mayo,
,,Junio,7
,,Julio,4
,,Agosto,9
,,Septiembre,5
,,Octubre,6
,,Noviembre,3
,,Diciembre,1
,,No Especificado,
,2002,Enero,5
,,Febrero,6
,,Marzo,4
,,Abril,1
,,Mayo,4
,,Junio,2
,,Julio,3
,,Agosto,5
,,Septiembre,2
,,Octubre,5
,,Noviembre,8
,,Diciembre,1
,,No Especificado,
,2003,Enero,3
,,Febrero,7
,,Marzo,2
,,Abril,5
,,Mayo,6
,,Junio,10
,,Julio,5
,,Agosto,2
,,Septiembre,9
,,Octubre,5
,,Noviembre,5
,,Diciembre,7
,,No Especificado,
,2004,Enero,5
,,Febrero,6
,,Marzo,4
,,Abril,1
,,Mayo,6
,,Junio,8
,,Julio,4
,,Agosto,4
,,Septiembre,4
,,Octubre,7
,,Noviembre,8
,,Diciembre,3
,,No Especificado,
,2005,Enero,6
,,Febrero,7
,,Marzo,5
,,Abril,5
,,Mayo,13
,,Junio,3
,,Julio,3
,,Agosto,3
,,Septiembre,2
,,Octubre,1
,,Noviembre,5
,,Diciembre,4
,,No Especificado,
,2006,Enero,6
,,Febrero,7
,,Marzo,10
,,Abril,5
,,Mayo,6
,,Junio,4
,,Julio,4
,,Agosto,4
,,Septiembre,3
,,Octubre,5
,,Noviembre,3
,,Diciembre,5
,,No Especificado,
,2007,Enero,5
,,Febrero,
,,Marzo,1
,,Abril,3
,,Mayo,6
,,Junio,5
,,Julio,4
,,Agosto,7
,,Septiembre,7
,,Octubre,4
,,Noviembre,6
,,Diciembre,7
,,No Especificado,
,2008,Enero,4
,,Febrero,1
,,Marzo,5
,,Abril,6
,,Mayo,5
,,Junio,1
,,Julio,3
,,Agosto,4
,,Septiembre,4
,,Octubre,2
,,Noviembre,4
,,Diciembre,6
,,No Especificado,
Aguascalientes Total,,,520
Baja California,1998,Enero,7
,,Febrero,12
,,Marzo,5
,,Abril,9
,,Mayo,13
,,Junio,8
,,Julio,11
,,Agosto,9
,,Septiembre,6
,,Octubre,7
,,Noviembre,10
,,Diciembre,4
,,No Especificado,
,1999,Enero,5
,,Febrero,5
,,Marzo,5
,,Abril,11
,,Mayo,10
,,Junio,8
,,Julio,8
,,Agosto,10
,,Septiembre,9
,,Octubre,12
,,Noviembre,10
,,Diciembre,7
,,No Especificado,
,2000,Enero,4
,,Febrero,15
,,Marzo,9
,,Abril,4
,,Mayo,11
,,Junio,3
,,Julio,7
,,Agosto,6
,,Septiembre,16
,,Octubre,6
,,Noviembre,7
,,Diciembre,7
,,No Especificado,
,2001,Enero,12
,,Febrero,6
,,Marzo,9
,,Abril,8
,,Mayo,7
,,Junio,8
,,Julio,6
,,Agosto,11
,,Septiembre,9
,,Octubre,4
,,Noviembre,12
,,Diciembre,6
,,No Especificado,
,2002,Enero,7
,,Febrero,8
,,Marzo,5
,,Abril,4
,,Mayo,10
,,Junio,8
,,Julio,20
,,Agosto,10
,,Septiembre,5
,,Octubre,12
,,Noviembre,10
,,Diciembre,11
,,No Especificado,
