Year,Month,Firearm.Suicides,Suicides
1998,Enero,72,279
,Febrero,60,250
,Marzo,65,258
,Abril,57,282
,Mayo,60,322
,Junio,73,295
,Julio,60,271
,Agosto,65,302
,Septiembre,51,256
,Octubre,46,241
,Noviembre,48,275
,Diciembre,66,296
,No Especificado,2,5
1999,Enero,60,258
,Febrero,61,242
,Marzo,57,274
,Abril,67,306
,Mayo,78,305
,Junio,46,277
,Julio,70,294
,Agosto,55,295
,Septiembre,73,307
,Octubre,57,242
,Noviembre,46,245
,Diciembre,59,288
,No Especificado,1,7
2000,Enero,56,291
,Febrero,68,293
,Marzo,68,287
,Abril,51,303
,Mayo,56,326
,Junio,55,273
,Julio,62,299
,Agosto,64,302
,Septiembre,51,301
,Octubre,51,264
,Noviembre,54,274
,Diciembre,56,285
,No Especificado,,3
2001,Enero,65,303
,Febrero,48,280
,Marzo,50,301
,Abril,63,358
,Mayo,81,352
,Junio,51,327
,Julio,59,269
,Agosto,72,317
,Septiembre,55,309
,Octubre,60,324
,Noviembre,58,317
,Diciembre,50,327
,No Especificado,1,8
2002,Enero,69,333
,Febrero,54,285
,Marzo,69,338
,Abril,71,330
,Mayo,68,318
,Junio,54,332
,Julio,44,326
,Agosto,60,342
,Septiembre,52,302
,Octubre,45,315
,Noviembre,51,306
,Diciembre,43,345
,No Especificado,2,2
2003,Enero,60,325
,Febrero,49,304
,Marzo,72,369
,Abril,62,335
,Mayo,67,402
,Junio,57,358
,Julio,64,372
,Agosto,56,343
,Septiembre,42,295
,Octubre,51,339
,Noviembre,53,314
,Diciembre,60,337
,No Especificado,1,2
2004,Enero,47,311
,Febrero,61,295
,Marzo,67,347
,Abril,57,338
,Mayo,69,416
,Junio,61,353
,Julio,49,352
,Agosto,44,346
,Septiembre,37,348
,Octubre,61,379
,Noviembre,47,298
,Diciembre,54,310
,No Especificado,,4
2005,Enero,36,318
,Febrero,45,330
,Marzo,53,373
,Abril,50,361
,Mayo,64,430
,Junio,52,367
,Julio,39,366
,Agosto,51,389
,Septiembre,50,395
,Octubre,57,340
,Noviembre,53,334
,Diciembre,45,318
,No Especificado,,2
2006,Enero,54,329
,Febrero,55,321
,Marzo,45,331
,Abril,46,360
,Mayo,55,419
,Junio,51,361
,Julio,54,392
,Agosto,50,382
,Septiembre,43,367
,Octubre,43,325
,Noviembre,45,330
,Diciembre,45,345
,No Especificado,,5
2007,Enero,33,283
,Febrero,32,301
,Marzo,51,418
,Abril,51,390
,Mayo,48,412
,Junio,57,391
,Julio,43,381
,Agosto,42,385
,Septiembre,45,343
,Octubre,49,366
,Noviembre,44,355
,Diciembre,55,373
,No Especificado,,4
2008,Enero,43,347
,Febrero,54,347
,Marzo,59,354
,Abril,42,387
,Mayo,54,499
,Junio,50,387
,Julio,46,393
,Agosto,46,422
,Septiembre,35,375
,Octubre,61,379
,Noviembre,36,358
,Diciembre,38,327
